pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Soil_Texture,Rainfall_mm,Temperature_C,Market_Price_KES,Farm_Size_ha,Irrigation,Input_Budget_KES,Farmer_Profile,Sub_County,Season,Humidity_pct,market_signal,Recommended_Crop
5.737383,0.142236,13.664376,114.983169,2.118114,Clayey,36.0,22.9,6523.04,1.837586234736144,1,12622.46593450887,Progressive,Bondo,dry,77.0,fair,Cassava
5.535815,0.1008,10.563079,110.328164,1.269448,Clayey,9.0,23.3,6824.77,0.9132078801111688,1,11496.807864554665,Mixed,Bondo,dry,77.0,fair,Cassava
5.298195,0.142918,11.21904,98.692331,1.858228,Loamy,18.0,23.4,6738.1,2.3169105107754584,1,16856.187080704163,Progressive,Bondo,dry,78.0,fair,Cassava
5.683763,0.133877,12.220081,84.411015,1.907216,Loamy,27.0,23.4,7717.11,2.5576622367816384,1,16634.645948908023,Progressive,Bondo,dry,74.0,good,Cassava
5.469111,0.116937,12.810342,104.994586,1.93313,Loamy,0.0,23.6,6490.76,0.5686226203047906,1,9157.82214561622,Mixed,Bondo,dry,73.0,fair,Cassava
5.433332,0.154223,10.47285,103.813324,1.79076,Clayey,0.0,23.8,6749.19,0.7968145251138057,1,11172.875257909503,Mixed,Bondo,dry,72.0,fair,Cassava
6.219158,0.090893,10.010074,136.736089,1.451768,Sandy,0.0,23.6,6702.45,1.6761123084786929,1,11837.480323607866,Mixed,Bondo,dry,69.0,fair,Sorghum
5.808417,0.113974,9.511102,113.770112,2.116178,Clayey,0.0,23.9,6711.52,1.3304987234467067,1,10321.0111722461,Mixed,Bondo,dry,66.0,fair,Sorghum
5.813324,0.151162,15.175637,135.043078,1.452997,Loamy,990.0,22.8,6589.81,1.5546701455756584,0,11178.343703084143,Mixed,Bondo,dry,79.0,fair,Rice
5.689349,0.143162,14.583055,105.395401,1.510767,Clayey,1692.0,21.1,6654.61,1.006437791731713,0,6875.688414253544,Subsistence,Bondo,dry,82.0,fair,Rice
5.461171,0.115323,9.496746,126.621069,1.61726,Loamy,504.0,21.8,6899.31,2.47759156936544,0,12743.223549099048,Mixed,Bondo,dry,79.0,fair,Cassava
5.6669,0.112182,9.929242,116.929535,1.471579,Loamy,153.0,23.1,6523.54,2.350085725490965,1,13946.495371938,Progressive,Bondo,dry,76.0,fair,Cassava
5.628957,0.122086,9.566674,104.274822,1.473229,Loamy,18.0,23.7,6585.01,1.6230968541154078,1,12995.14690541184,Progressive,Bondo,dry,74.0,fair,Cassava
5.315145,0.132051,8.633005,117.083319,1.546998,Clayey,225.0,23.0,6595.12,2.818388950705665,1,15394.657636523458,Progressive,Bondo,dry,75.0,fair,Cassava
6.058259,0.118816,16.19232,111.526574,1.33484,Clayey,423.0,22.2,6617.38,1.999915356613413,0,12115.592244872669,Mixed,Bondo,dry,82.0,fair,Sorghum
5.682116,0.125251,10.284435,110.340163,1.746454,Loamy,0.0,23.4,6563.86,1.0031729424599845,1,6096.947031898316,Mixed,Bondo,dry,70.0,fair,Cassava
