ward,sub_county,ward_code,lat,lon,soil_match_level,soil_type,soil_ph,organic_matter,nitrogen,phosphorus,potassium,target_crop,yield_kg_per_ha,soil_data_note
West Yimbo,Bondo,1175,-0.053923,34.058034,ward,clay,5.5,1.9,0.13,11.5,110.0,Cassava,9000.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
West Sakwa,Bondo,1179,-0.080209,34.214626,ward,clay-loam,5.7,1.7,0.12,12.5,118.0,Sorghum,1900.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
West Asembo,Rarieda,1182,-0.149214,34.342518,ward,clay,5.5,2.0,0.15,10.5,112.0,Cassava,8800.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Central Gem,Gem,1171,0.069831,34.468354,ward,sandy-loam,5.8,1.5,0.11,9.0,95.0,Beans,950.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Ukwala,Ugenya,1157,0.200474,34.205753,ward,loam,6.2,1.5,0.11,9.0,96.0,Groundnuts,780.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
North Gem,Gem,1169,0.113575,34.41848,ward,sandy-loam,5.9,1.4,0.1,8.0,90.0,Millet,1050.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Siaya Township,Alego Usonga,1166,0.047599,34.286572,ward,loam,6.5,2.1,0.18,18.0,140.0,Maize,3200.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
North Ugenya,Ugenya,1158,0.26605,34.228385,ward,sandy-loam,6.0,1.3,0.1,8.0,88.0,Groundnuts,730.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
West Alego,Alego Usonga,1164,0.114804,34.170656,sub_county,loam,6.5,2.1,0.18,18.0,140.0,Maize,3200.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
North Uyoma,Rarieda,1183,-0.251547,34.340507,ward,clay,5.6,1.9,0.14,10.0,105.0,Cassava,8200.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Sigomere,Ugunja,1161,0.219198,34.35926,ward,loam,6.0,1.6,0.12,10.5,100.0,Millet,1080.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
South Sakwa,Bondo,1177,-0.179467,34.238573,ward,clay-loam,5.8,1.6,0.12,12.0,115.0,Sorghum,1750.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Central Sakwa,Bondo,1176,-0.155501,34.158347,ward,clay-loam,5.8,1.7,0.13,12.5,117.0,Sorghum,1820.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
South East Alego,Alego Usonga,1168,0.0022,34.268626,sub_county,loam,6.5,2.1,0.18,18.0,140.0,Maize,3200.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
