date,sub_county,season,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,soil_moisture_0_to_7cm_mean,soil_temperature_0_to_7cm_mean,soil_type,soil_ph_avg,organic_matter_avg,market_retail_avg,market_signal,target_crop,yield_kg_per_ha
2000-01-01,Bondo,dry,22.9,0.4,77,0.378,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-02,Bondo,dry,23.3,0.1,77,0.367,23.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-03,Bondo,dry,23.4,0.2,78,0.358,24.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-04,Bondo,dry,23.4,0.3,74,0.348,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-05,Bondo,dry,23.6,0.0,73,0.338,24.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-06,Bondo,dry,23.8,0.0,72,0.327,24.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-07,Bondo,dry,23.6,0.0,69,0.316,24.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-08,Bondo,dry,23.9,0.0,66,0.303,24.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-09,Bondo,dry,22.8,11.0,79,0.329,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-10,Bondo,dry,21.1,18.8,82,0.406,23.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-11,Bondo,dry,21.8,5.6,79,0.413,23.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-12,Bondo,dry,23.1,1.7,76,0.387,23.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-13,Bondo,dry,23.7,0.2,74,0.371,24.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-14,Bondo,dry,23.0,2.5,75,0.382,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-15,Bondo,dry,22.2,4.7,82,0.394,23.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-16,Bondo,dry,23.4,0.0,70,0.371,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-17,Bondo,dry,23.6,0.0,68,0.352,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-18,Bondo,dry,23.3,3.0,76,0.35,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-19,Bondo,dry,22.6,1.5,80,0.362,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-20,Bondo,dry,21.7,6.0,82,0.385,23.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-21,Bondo,dry,22.3,2.5,79,0.373,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-22,Bondo,dry,23.6,0.0,69,0.355,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-23,Bondo,dry,23.7,0.2,73,0.34,24.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-24,Bondo,dry,23.6,1.4,75,0.343,24.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-25,Bondo,dry,23.7,0.1,67,0.33,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-26,Bondo,dry,23.9,0.0,54,0.313,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-27,Bondo,dry,24.0,0.0,52,0.297,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-28,Bondo,dry,23.7,0.0,56,0.283,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-29,Bondo,dry,24.3,0.0,57,0.271,25.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-30,Bondo,dry,24.4,0.0,57,0.26,25.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-01-31,Bondo,dry,24.5,0.0,58,0.25,25.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-01,Bondo,dry,24.3,0.0,57,0.24,25.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-02,Bondo,dry,23.0,4.2,75,0.242,24.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-03,Bondo,dry,23.1,4.3,73,0.253,24.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-04,Bondo,dry,23.1,3.0,74,0.26,24.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-05,Bondo,dry,22.9,1.0,77,0.264,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-06,Bondo,dry,23.0,2.0,75,0.266,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-07,Bondo,dry,22.7,5.6,76,0.294,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-08,Bondo,dry,21.9,10.2,82,0.322,23.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-09,Bondo,dry,22.3,4.4,79,0.325,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-10,Bondo,dry,22.5,6.1,78,0.338,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-11,Bondo,dry,23.6,0.4,69,0.326,25.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-12,Bondo,dry,23.9,0.0,62,0.302,25.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-13,Bondo,dry,23.9,0.1,64,0.283,24.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-14,Bondo,dry,23.9,0.9,71,0.27,25.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-15,Bondo,dry,24.6,0.0,65,0.26,25.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-16,Bondo,dry,24.1,0.2,70,0.25,25.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-17,Bondo,dry,24.0,0.6,70,0.242,25.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-18,Bondo,dry,23.5,0.1,71,0.238,25.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-19,Bondo,dry,23.1,2.0,77,0.242,25.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-20,Bondo,dry,24.5,0.0,63,0.241,25.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-21,Bondo,dry,24.7,0.0,53,0.227,25.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-22,Bondo,dry,24.8,0.0,57,0.214,26.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-23,Bondo,dry,24.5,0.0,67,0.204,26.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-24,Bondo,dry,25.2,0.0,63,0.197,26.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-25,Bondo,dry,24.5,0.1,69,0.192,26.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-26,Bondo,dry,23.1,7.9,77,0.217,25.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-27,Bondo,dry,24.4,2.2,67,0.229,26.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-28,Bondo,dry,24.6,2.2,69,0.223,26.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-02-29,Bondo,dry,21.8,22.3,83,0.317,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-01,Bondo,long_rains,22.3,5.3,77,0.349,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-02,Bondo,long_rains,23.4,0.4,72,0.321,25.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-03,Bondo,long_rains,24.5,0.0,65,0.296,25.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-04,Bondo,long_rains,23.1,15.2,77,0.322,24.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-05,Bondo,long_rains,24.3,0.1,69,0.326,25.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-06,Bondo,long_rains,24.2,0.1,73,0.298,25.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-07,Bondo,long_rains,23.7,5.6,76,0.312,25.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-08,Bondo,long_rains,21.8,19.6,83,0.385,24.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-09,Bondo,long_rains,21.8,5.6,81,0.389,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-10,Bondo,long_rains,23.8,1.2,71,0.356,25.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-11,Bondo,long_rains,22.9,6.1,80,0.369,24.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-12,Bondo,long_rains,22.6,10.8,82,0.379,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-13,Bondo,long_rains,24.3,0.3,71,0.364,25.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-14,Bondo,long_rains,23.4,7.0,79,0.376,25.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-15,Bondo,long_rains,22.8,13.5,81,0.383,24.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-16,Bondo,long_rains,22.6,3.9,81,0.38,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-17,Bondo,long_rains,22.7,2.0,80,0.371,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-18,Bondo,long_rains,22.8,2.4,80,0.362,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-19,Bondo,long_rains,23.1,2.4,79,0.352,24.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-20,Bondo,long_rains,23.2,2.2,77,0.364,24.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-21,Bondo,long_rains,24.4,0.1,71,0.344,25.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-22,Bondo,long_rains,25.4,0.2,62,0.323,26.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-23,Bondo,long_rains,24.8,0.0,61,0.305,26.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-24,Bondo,long_rains,24.2,2.8,75,0.301,26.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-25,Bondo,long_rains,21.4,18.6,83,0.392,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-26,Bondo,long_rains,21.4,6.8,82,0.398,23.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-27,Bondo,long_rains,22.1,1.8,80,0.374,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-28,Bondo,long_rains,22.9,1.5,79,0.363,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-29,Bondo,long_rains,22.9,7.6,80,0.384,24.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-30,Bondo,long_rains,22.8,5.4,81,0.389,24.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-03-31,Bondo,long_rains,22.7,3.5,79,0.383,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-01,Bondo,long_rains,23.0,3.0,81,0.371,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-02,Bondo,long_rains,23.0,7.5,80,0.389,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-03,Bondo,long_rains,22.9,8.1,80,0.402,24.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-04,Bondo,long_rains,21.2,8.5,86,0.413,22.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-05,Bondo,long_rains,21.6,8.5,83,0.41,23.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-06,Bondo,long_rains,21.6,7.3,81,0.405,23.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-07,Bondo,long_rains,22.4,9.2,76,0.39,23.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-08,Bondo,long_rains,21.8,9.5,81,0.406,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-09,Bondo,long_rains,22.1,7.1,81,0.404,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-10,Bondo,long_rains,22.7,17.4,80,0.401,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-11,Bondo,long_rains,22.8,34.2,80,0.411,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-12,Bondo,long_rains,23.1,3.1,81,0.402,24.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-13,Bondo,long_rains,23.3,3.5,79,0.401,24.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-14,Bondo,long_rains,22.7,4.1,82,0.397,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-15,Bondo,long_rains,21.2,19.7,86,0.417,23.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-16,Bondo,long_rains,21.8,3.0,83,0.407,22.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-17,Bondo,long_rains,22.6,3.7,82,0.404,23.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-18,Bondo,long_rains,23.2,3.9,81,0.399,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-19,Bondo,long_rains,23.7,3.3,78,0.388,24.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-20,Bondo,long_rains,23.3,6.5,80,0.398,24.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-21,Bondo,long_rains,23.1,0.7,81,0.381,24.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-22,Bondo,long_rains,22.1,11.8,83,0.391,23.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-23,Bondo,long_rains,22.1,2.2,81,0.402,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-24,Bondo,long_rains,22.8,3.8,81,0.383,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-25,Bondo,long_rains,22.3,8.5,83,0.401,23.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-26,Bondo,long_rains,23.2,4.4,77,0.393,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-27,Bondo,long_rains,22.8,2.7,78,0.397,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-28,Bondo,long_rains,22.2,4.7,82,0.398,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-29,Bondo,long_rains,22.9,11.9,79,0.4,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-04-30,Bondo,long_rains,22.8,10.3,77,0.405,24.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-01,Bondo,long_rains,22.4,10.9,82,0.41,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-02,Bondo,long_rains,22.6,9.0,81,0.41,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-03,Bondo,long_rains,23.1,5.8,78,0.405,24.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-04,Bondo,long_rains,23.3,3.9,77,0.398,24.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-05,Bondo,long_rains,23.7,5.3,75,0.391,25.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-06,Bondo,long_rains,23.2,10.5,79,0.409,24.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-07,Bondo,long_rains,24.3,6.8,70,0.402,24.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-08,Bondo,long_rains,22.9,10.6,81,0.402,24.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-09,Bondo,long_rains,22.3,12.6,82,0.415,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-10,Bondo,long_rains,23.0,1.3,76,0.405,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-11,Bondo,long_rains,22.1,14.1,81,0.413,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-12,Bondo,long_rains,21.0,14.2,87,0.42,22.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-13,Bondo,long_rains,21.7,11.0,82,0.416,23.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-14,Bondo,long_rains,22.3,7.3,80,0.411,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-15,Bondo,long_rains,22.8,4.0,78,0.401,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-16,Bondo,long_rains,22.4,13.8,82,0.404,23.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-17,Bondo,long_rains,23.1,2.8,79,0.392,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-18,Bondo,long_rains,23.1,1.7,81,0.384,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-19,Bondo,long_rains,22.8,3.6,79,0.397,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-20,Bondo,long_rains,23.8,0.0,71,0.372,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-21,Bondo,long_rains,23.9,0.3,74,0.357,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-22,Bondo,long_rains,23.7,0.4,77,0.346,24.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-23,Bondo,long_rains,23.8,0.9,75,0.338,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-24,Bondo,long_rains,23.9,0.8,75,0.329,24.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-25,Bondo,long_rains,23.2,1.2,77,0.324,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-26,Bondo,long_rains,22.7,3.6,80,0.321,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-27,Bondo,long_rains,23.7,1.7,71,0.314,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-28,Bondo,long_rains,22.6,4.3,79,0.33,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-29,Bondo,long_rains,23.0,1.6,77,0.335,23.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-30,Bondo,long_rains,22.4,5.5,80,0.36,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-05-31,Bondo,long_rains,23.2,1.9,75,0.35,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-01,Bondo,dry,23.4,1.3,77,0.334,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-02,Bondo,dry,23.5,2.6,75,0.329,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-03,Bondo,dry,23.4,3.9,71,0.337,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-04,Bondo,dry,23.1,3.2,75,0.33,23.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-05,Bondo,dry,22.4,4.5,78,0.331,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-06,Bondo,dry,22.5,2.9,77,0.328,23.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-07,Bondo,dry,22.2,5.8,76,0.331,23.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-08,Bondo,dry,22.4,2.7,72,0.328,23.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-09,Bondo,dry,21.9,7.8,77,0.357,23.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-10,Bondo,dry,22.5,0.3,73,0.341,23.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
