date,ward,sub_county,ward_code,lat,lon,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,soil_moisture_0_to_7cm_mean,soil_temperature_0_to_7cm_mean
1/1/2000,,Bondo,,-0.096913667,34.18569167,22.9,0.4,77,0.378,23.5
1/2/2000,,Bondo,,-0.096913667,34.18569167,23.3,0.1,77,0.367,23.9
1/3/2000,,Bondo,,-0.096913667,34.18569167,23.4,0.2,78,0.358,24.5
1/4/2000,,Bondo,,-0.096913667,34.18569167,23.4,0.3,74,0.348,24.3
1/5/2000,,Bondo,,-0.096913667,34.18569167,23.6,0,73,0.338,24.7
1/6/2000,,Bondo,,-0.096913667,34.18569167,23.8,0,72,0.327,24.9
1/7/2000,,Bondo,,-0.096913667,34.18569167,23.6,0,69,0.316,24.5
1/8/2000,,Bondo,,-0.096913667,34.18569167,23.9,0,66,0.303,24.5
1/9/2000,,Bondo,,-0.096913667,34.18569167,22.8,11,79,0.329,24.2
1/10/2000,,Bondo,,-0.096913667,34.18569167,21.1,18.8,82,0.406,23.2
1/11/2000,,Bondo,,-0.096913667,34.18569167,21.8,5.6,79,0.413,23.4
1/12/2000,,Bondo,,-0.096913667,34.18569167,23.1,1.7,76,0.387,23.9
1/13/2000,,Bondo,,-0.096913667,34.18569167,23.7,0.2,74,0.371,24.5
1/14/2000,,Bondo,,-0.096913667,34.18569167,23,2.5,75,0.382,24.3
1/15/2000,,Bondo,,-0.096913667,34.18569167,22.2,4.7,82,0.394,23.9
1/16/2000,,Bondo,,-0.096913667,34.18569167,23.4,0,70,0.371,24.2
1/17/2000,,Bondo,,-0.096913667,34.18569167,23.6,0,68,0.352,24.2
1/18/2000,,Bondo,,-0.096913667,34.18569167,23.3,3,76,0.35,24.2
1/19/2000,,Bondo,,-0.096913667,34.18569167,22.6,1.5,80,0.362,24
1/20/2000,,Bondo,,-0.096913667,34.18569167,21.7,6,82,0.385,23.3
1/21/2000,,Bondo,,-0.096913667,34.18569167,22.3,2.5,79,0.373,23.5
1/22/2000,,Bondo,,-0.096913667,34.18569167,23.6,0,69,0.355,24.3
